flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
31-1,31,1,5.0,53.0,4.26664,35.399496,7,42.02912902832031,45.15062093734741,3.1214919090270996,49.8785080909729,8.817899297286887
31-1,31,1,5.0,53.0,4.26664,35.399496,8,48.03916692733765,52.617624044418335,4.5784571170806885,48.42154288291931,12.93367882153093
31-1,31,1,5.0,53.0,4.26664,35.399496,9,54.059062004089355,57.96221399307251,3.9031519889831543,49.096848011016846,11.026010056705763
31-1,31,1,5.0,53.0,4.26664,35.399496,10,60.04886198043823,64.34075403213501,4.291892051696777,48.70810794830322,12.1241614617812
31-1,31,1,5.0,53.0,4.26664,35.399496,11,66.06980991363525,69.69914698600769,3.6293370723724365,49.37066292762756,10.252510579168801
31-1,31,1,5.0,53.0,4.26664,35.399496,12,72.05924701690674,75.00077104568481,2.941524028778076,50.058475971221924,8.30950821666522
31-1,31,1,5.0,53.0,4.26664,35.399496,13,78.06931900978088,83.54013800621033,5.470818996429443,47.52918100357056,15.454510980691486
31-1,31,1,5.0,53.0,4.26664,35.399496,14,84.06933093070984,89.92945098876953,5.860120058059692,47.13987994194031,16.554247151032015
31-1,31,1,5.0,53.0,4.26664,35.399496,15,90.0802550315857,94.21926999092102,4.139014959335327,48.86098504066467,11.692299120121167
31-1,31,1,5.0,53.0,4.26664,35.399496,16,96.09900093078613,97.40067410469055,1.301673173904419,51.69832682609558,3.6770952160008687
31-1,31,1,5.0,53.0,4.26664,35.399496,17,102.08885502815247,104.85082602500916,2.7619709968566895,50.23802900314331,7.802289040659476
31-1,31,1,5.0,53.0,4.26664,35.399496,18,108.10927605628967,109.13960099220276,1.030324935913086,51.969675064086914,2.910563856369836
31-1,31,1,5.0,53.0,4.26664,35.399496,19,114.09913802146912,117.66910099983215,3.569962978363037,49.43003702163696,10.08478476180293
31-1,31,1,5.0,53.0,4.26664,35.399496,20,120.10905694961548,122.99820899963379,2.8891520500183105,50.11084794998169,8.161562667497613
31-1,31,1,5.0,53.0,4.26664,35.399496,21,126.12921094894409,127.25111103057861,1.1219000816345215,51.87809991836548,3.1692543917419655
31-1,31,1,5.0,53.0,4.26664,35.399496,22,132.11920309066772,134.71224904060364,2.593045949935913,50.40695405006409,7.325092848598504
31-1,31,1,5.0,53.0,4.26664,35.399496,23,138.1390860080719,138.9882791042328,0.8491930961608887,52.15080690383911,2.3988847077395925
31-1,31,1,5.0,53.0,4.26664,35.399496,24,144.12885403633118,148.57248306274414,4.443629026412964,48.556370973587036,12.552803086272652
31-1,31,1,5.0,53.0,4.26664,35.399496,25,150.13891506195068,152.83061408996582,2.6916990280151367,50.30830097198486,7.603777827840082
31-1,31,1,5.0,53.0,4.26664,35.399496,26,156.159893989563,159.23152804374695,3.07163405418396,49.92836594581604,8.6770558941968
31-1,31,1,5.0,53.0,4.26664,35.399496,27,162.14905905723572,164.5611400604248,2.412081003189087,50.58791899681091,6.813885155848228
31-1,31,1,5.0,53.0,4.26664,35.399496,28,168.1692669391632,169.8920440673828,1.7227771282196045,51.277222871780396,4.866671345319731
31-1,31,1,5.0,53.0,4.26664,35.399496,29,174.15915298461914,179.45894598960876,5.299793004989624,47.700206995010376,14.971379832610115
31-1,31,1,5.0,53.0,4.26664,35.399496,30,180.1690239906311,183.75922894477844,3.590204954147339,49.40979504585266,10.141966298467468
31-1,31,1,5.0,53.0,4.26664,35.399496,31,186.16967606544495,190.15939593315125,3.989719867706299,49.0102801322937,11.270555568662049
31-1,31,1,5.0,53.0,4.26664,35.399496,32,192.17890000343323,193.34220099449158,1.1633009910583496,51.83669900894165,3.2862077783772676
31-1,31,1,5.0,53.0,4.26664,35.399496,33,198.19942808151245,202.92071199417114,4.721283912658691,48.27871608734131,13.337150090099282
31-1,31,1,5.0,53.0,4.26664,35.399496,34,204.18900895118713,209.32960891723633,5.140599966049194,47.859400033950806,14.521675579926885
31-1,31,1,5.0,53.0,4.26664,35.399496,35,210.19904804229736,213.57379698753357,3.374748945236206,49.625251054763794,9.53332483952937
31-1,31,1,5.0,53.0,4.26664,35.399496,36,216.1996419429779,219.99226999282837,3.792628049850464,49.207371950149536,10.713791094230448
31-1,31,1,5.0,53.0,4.26664,35.399496,37,222.20897102355957,223.19038200378418,0.9814109802246094,52.01858901977539,2.772386873035168
31-1,31,1,5.0,53.0,4.26664,35.399496,38,228.22913599014282,232.8022530078888,4.573117017745972,48.42688298225403,12.918593580388748
31-1,31,1,5.0,53.0,4.26664,35.399496,39,234.21893405914307,240.23081398010254,6.011879920959473,46.98812007904053,16.982953432329865
31-1,31,1,5.0,53.0,4.26664,35.399496,40,240.23941493034363,243.44062495231628,3.2012100219726562,49.798789978027344,9.04309491291248
31-1,31,1,5.0,53.0,4.26664,35.399496,41,246.2291979789734,248.77097702026367,2.541779041290283,50.45822095870972,7.180269010864683
31-1,31,1,5.0,53.0,4.26664,35.399496,42,252.23906803131104,254.12064599990845,1.881577968597412,51.11842203140259,5.3152676766850355
31-1,31,1,5.0,53.0,4.26664,35.399496,43,258.2677719593048,259.4487190246582,1.1809470653533936,51.819052934646606,3.336056155583101
