1513435568.370367,31,31,r,187159 structure.c 595 DATA: Node 31, packet 24 sent; IPI 5000
1513435574.380428,31,31,r,193165 structure.c 595 DATA: Node 31, packet 25 sent; IPI 5000
1513435580.401407,31,31,r,199170 structure.c 595 DATA: Node 31, packet 26 sent; IPI 5000
1513435586.390572,31,31,r,205176 structure.c 595 DATA: Node 31, packet 27 sent; IPI 5000
1513435592.410780,31,31,r,211182 structure.c 595 DATA: Node 31, packet 28 sent; IPI 5000
1513435598.400666,31,31,r,217188 structure.c 595 DATA: Node 31, packet 29 sent; IPI 5000
1513435424.256699,15,15,r, 43055 structure.c 595 DATA: Node 15, packet 0 sent; IPI 8000
1513435433.235616,15,15,r, 52061 structure.c 595 DATA: Node 15, packet 1 sent; IPI 8000
1513435442.246253,15,15,r, 61067 structure.c 595 DATA: Node 15, packet 2 sent; IPI 8000
1513435451.266098,15,15,r, 70073 structure.c 595 DATA: Node 15, packet 3 sent; IPI 8000
1513435460.255634,15,15,r, 79078 structure.c 595 DATA: Node 15, packet 4 sent; IPI 8000
1513435469.276022,15,15,r, 88084 structure.c 595 DATA: Node 15, packet 5 sent; IPI 8000
1513435478.265387,15,15,r, 97090 structure.c 595 DATA: Node 15, packet 6 sent; IPI 8000
1513435487.275301,15,15,r,106096 structure.c 595 DATA: Node 15, packet 7 sent; IPI 8000
1513435496.276396,15,15,r,115102 structure.c 595 DATA: Node 15, packet 8 sent; IPI 8000
1513435505.285274,15,15,r,124107 structure.c 595 DATA: Node 15, packet 9 sent; IPI 8000
1513435514.306058,15,15,r,133113 structure.c 595 DATA: Node 15, packet 10 sent; IPI 8000
1513435523.295234,15,15,r,142119 structure.c 595 DATA: Node 15, packet 11 sent; IPI 8000
1513435532.316610,15,15,r,151125 structure.c 595 DATA: Node 15, packet 12 sent; IPI 8000
1513435541.305608,15,15,r,160131 structure.c 595 DATA: Node 15, packet 13 sent; IPI 8000
1513435550.315171,15,15,r,169137 structure.c 595 DATA: Node 15, packet 14 sent; IPI 8000
1513435559.336087,15,15,r,178143 structure.c 595 DATA: Node 15, packet 15 sent; IPI 8000
1513435568.325901,15,15,r,187149 structure.c 595 DATA: Node 15, packet 16 sent; IPI 8000
1513435577.346601,15,15,r,196155 structure.c 595 DATA: Node 15, packet 17 sent; IPI 8000
1513435586.336390,15,15,r,205160 structure.c 595 DATA: Node 15, packet 18 sent; IPI 8000
1513435595.346429,15,15,r,214166 structure.c 595 DATA: Node 15, packet 19 sent; IPI 8000
1513435434.901870,4,4,r, 53662 structure.c 595 DATA: Node 4, packet 0 sent; IPI 9000
1513435445.411550,4,4,r, 64167 structure.c 595 DATA: Node 4, packet 1 sent; IPI 9000
1513435455.900614,4,4,r, 74673 structure.c 595 DATA: Node 4, packet 2 sent; IPI 9000
1513435466.410684,4,4,r, 85179 structure.c 595 DATA: Node 4, packet 3 sent; IPI 9000
1513435476.931082,4,4,r, 95684 structure.c 595 DATA: Node 4, packet 4 sent; IPI 9000
1513435487.420447,4,4,r,106190 structure.c 595 DATA: Node 4, packet 5 sent; IPI 9000
1513435497.940699,4,4,r,116696 structure.c 595 DATA: Node 4, packet 6 sent; IPI 9000
1513435508.431072,4,4,r,127202 structure.c 595 DATA: Node 4, packet 7 sent; IPI 9000
1513435518.950912,4,4,r,137707 structure.c 595 DATA: Node 4, packet 8 sent; IPI 9000
1513435529.440490,4,4,r,148213 structure.c 595 DATA: Node 4, packet 9 sent; IPI 9000
1513435539.950562,4,4,r,158719 structure.c 595 DATA: Node 4, packet 10 sent; IPI 9000
1513435550.452256,4,4,r,169225 structure.c 595 DATA: Node 4, packet 11 sent; IPI 9000
1513435560.972378,4,4,r,179730 structure.c 595 DATA: Node 4, packet 12 sent; IPI 9000
1513435571.480483,4,4,r,190236 structure.c 595 DATA: Node 4, packet 13 sent; IPI 9000
1513435581.970628,4,4,r,200742 structure.c 595 DATA: Node 4, packet 14 sent; IPI 9000
1513435592.490678,4,4,r,211248 structure.c 595 DATA: Node 4, packet 15 sent; IPI 9000
1513435454.472095,1,1,r, 73285 structure.c 398 DATA: Node 22, packet 0 received; ETE 54000
1513435454.500329,1,1,r, 73291 structure.c 398 DATA: Node 31, packet 0 received; ETE 53000
1513435454.500329,1,1,r, 73297 structure.c 398 DATA: Node 33, packet 0 received; ETE 50000
1513435457.660430,1,1,r, 76475 structure.c 398 DATA: Node 31, packet 5 received; ETE 53000
1513435458.751734,1,1,r, 77549 structure.c 398 DATA: Node 22, packet 5 received; ETE 54000
1513435458.751734,1,1,r, 77555 structure.c 398 DATA: Node 28, packet 0 received; ETE 58000
1513435458.751734,1,1,r, 77562 structure.c 398 DATA: Node 8, packet 0 received; ETE 54000
1513435460.882715,1,1,r, 79681 structure.c 398 DATA: Node 33, packet 3 received; ETE 50000
1513435460.882715,1,1,r, 79687 structure.c 398 DATA: Node 15, packet 0 received; ETE 56000
1513435460.882715,1,1,r, 79694 structure.c 398 DATA: Node 32, packet 2 received; ETE 55000
1513435463.011266,1,1,r, 81811 structure.c 398 DATA: Node 22, packet 6 received; ETE 54000
1513435463.011266,1,1,r, 81817 structure.c 398 DATA: Node 31, packet 6 received; ETE 53000
1513435465.141900,1,1,r, 83943 structure.c 398 DATA: Node 32, packet 5 received; ETE 55000
1513435465.141900,1,1,r, 83949 structure.c 398 DATA: Node 33, packet 4 received; ETE 50000
1513435469.392134,1,1,r, 88209 structure.c 398 DATA: Node 31, packet 7 received; ETE 53000
1513435469.420456,1,1,r, 88215 structure.c 398 DATA: Node 22, packet 7 received; ETE 54000
1513435469.420456,1,1,r, 88222 structure.c 398 DATA: Node 8, packet 4 received; ETE 54000
1513435473.672606,1,1,r, 92473 structure.c 398 DATA: Node 4, packet 0 received; ETE 57000
1513435473.672606,1,1,r, 92479 structure.c 398 DATA: Node 8, packet 5 received; ETE 54000
1513435473.672606,1,1,r, 92485 structure.c 398 DATA: Node 33, packet 5 received; ETE 50000
1513435475.800951,1,1,r, 94603 structure.c 398 DATA: Node 32, packet 6 received; ETE 55000
