1513357284.721178,1,1,r,115529 structure.c 398 DATA: Node 15, packet 4 received; ETE 54000
1513357288.971669,1,1,r,119787 structure.c 398 DATA: Node 28, packet 7 received; ETE 58000
1513357288.999937,1,1,r,119793 structure.c 398 DATA: Node 22, packet 6 received; ETE 59000
1513357293.251219,1,1,r,124051 structure.c 398 DATA: Node 32, packet 5 received; ETE 52000
1513357293.251219,1,1,r,124057 structure.c 398 DATA: Node 8, packet 6 received; ETE 58000
1513357297.502244,1,1,r,128317 structure.c 398 DATA: Node 3, packet 3 received; ETE 54000
1513357297.530374,1,1,r,128323 structure.c 398 DATA: Node 28, packet 8 received; ETE 58000
1513357297.530374,1,1,r,128329 structure.c 398 DATA: Node 22, packet 7 received; ETE 59000
1513357300.690812,1,1,r,131506 structure.c 398 DATA: Node 15, packet 5 received; ETE 54000
1513357303.912813,1,1,r,134713 structure.c 398 DATA: Node 33, packet 4 received; ETE 57000
1513357303.912813,1,1,r,134719 structure.c 398 DATA: Node 8, packet 7 received; ETE 58000
1513357303.912813,1,1,r,134726 structure.c 398 DATA: Node 32, packet 6 received; ETE 52000
1513357309.242630,1,1,r,140043 structure.c 398 DATA: Node 28, packet 9 received; ETE 58000
1513357309.242630,1,1,r,140049 structure.c 398 DATA: Node 31, packet 5 received; ETE 53000
1513357309.242630,1,1,r,140055 structure.c 398 DATA: Node 22, packet 8 received; ETE 59000
1513357313.491923,1,1,r,144305 structure.c 398 DATA: Node 3, packet 4 received; ETE 54000
1513357313.519787,1,1,r,144311 structure.c 398 DATA: Node 8, packet 8 received; ETE 58000
1513357316.680744,1,1,r,147496 structure.c 398 DATA: Node 15, packet 6 received; ETE 54000
1513357319.901731,1,1,r,150701 structure.c 398 DATA: Node 32, packet 7 received; ETE 52000
1513357319.901731,1,1,r,150707 structure.c 398 DATA: Node 33, packet 5 received; ETE 57000
1513357325.231708,1,1,r,156031 structure.c 398 DATA: Node 8, packet 9 received; ETE 58000
1513357325.231708,1,1,r,156037 structure.c 398 DATA: Node 31, packet 6 received; ETE 53000
1513357329.481087,1,1,r,160295 structure.c 398 DATA: Node 28, packet 10 received; ETE 58000
1513357329.509494,1,1,r,160301 structure.c 398 DATA: Node 3, packet 5 received; ETE 54000
1513357332.692336,1,1,r,163493 structure.c 398 DATA: Node 22, packet 9 received; ETE 59000
1513357332.692336,1,1,r,163499 structure.c 398 DATA: Node 8, packet 10 received; ETE 58000
1513357334.812191,1,1,r,165627 structure.c 398 DATA: Node 15, packet 7 received; ETE 54000
1513357334.849661,1,1,r,165633 structure.c 398 DATA: Node 32, packet 8 received; ETE 52000
1513357334.849661,1,1,r,165640 structure.c 398 DATA: Node 31, packet 7 received; ETE 53000
1513357342.271492,1,1,r,173087 structure.c 398 DATA: Node 33, packet 6 received; ETE 57000
1513357342.299381,1,1,r,173093 structure.c 398 DATA: Node 8, packet 11 received; ETE 58000
1513357344.420217,1,1,r,175219 structure.c 398 DATA: Node 22, packet 10 received; ETE 59000
1513357344.420217,1,1,r,175225 structure.c 398 DATA: Node 3, packet 6 received; ETE 54000
1513357347.611758,1,1,r,178410 structure.c 398 DATA: Node 28, packet 12 received; ETE 58000
1513357350.801712,1,1,r,181615 structure.c 398 DATA: Node 15, packet 8 received; ETE 54000
1513357350.829704,1,1,r,181621 structure.c 398 DATA: Node 8, packet 12 received; ETE 58000
1513357355.061849,1,1,r,185879 structure.c 398 DATA: Node 22, packet 11 received; ETE 59000
1513357355.090025,1,1,r,185885 structure.c 398 DATA: Node 31, packet 8 received; ETE 53000
1513357359.340888,1,1,r,190143 structure.c 398 DATA: Node 28, packet 13 received; ETE 58000
1513357359.340888,1,1,r,190149 structure.c 398 DATA: Node 33, packet 7 received; ETE 57000
1513357361.461847,1,1,r,192277 structure.c 398 DATA: Node 3, packet 7 received; ETE 54000
1513357361.490228,1,1,r,192283 structure.c 398 DATA: Node 32, packet 9 received; ETE 52000
1513357361.490228,1,1,r,192289 structure.c 398 DATA: Node 8, packet 13 received; ETE 58000
1513357364.661987,1,1,r,195475 structure.c 398 DATA: Node 22, packet 12 received; ETE 59000
1513357364.689964,1,1,r,195481 structure.c 398 DATA: Node 15, packet 9 received; ETE 54000
1513357364.689964,1,1,r,195487 structure.c 398 DATA: Node 28, packet 14 received; ETE 58000
1513357369.980803,1,1,r,200796 structure.c 398 DATA: Node 31, packet 9 received; ETE 53000
1513357375.332220,1,1,r,206133 structure.c 398 DATA: Node 8, packet 14 received; ETE 58000
1513357375.332220,1,1,r,206139 structure.c 398 DATA: Node 32, packet 10 received; ETE 52000
1513357377.452332,1,1,r,208267 structure.c 398 DATA: Node 3, packet 8 received; ETE 54000
1513357377.480251,1,1,r,208273 structure.c 398 DATA: Node 22, packet 13 received; ETE 59000
1513357377.480251,1,1,r,208279 structure.c 398 DATA: Node 28, packet 15 received; ETE 58000
1513357379.581218,1,1,r,210397 structure.c 398 DATA: Node 33, packet 8 received; ETE 57000
1513357379.609327,1,1,r,210403 structure.c 398 DATA: Node 15, packet 10 received; ETE 54000
1513357212.246937,15,15,r, 43056 structure.c 595 DATA: Node 15, packet 0 sent; IPI 16000
1513357228.757644,15,15,r, 59562 structure.c 595 DATA: Node 15, packet 1 sent; IPI 16000
1513357245.244882,15,15,r, 76068 structure.c 595 DATA: Node 15, packet 2 sent; IPI 16000
1513357261.765563,15,15,r, 92574 structure.c 595 DATA: Node 15, packet 3 sent; IPI 16000
1513357278.254847,15,15,r,109079 structure.c 595 DATA: Node 15, packet 4 sent; IPI 16000
1513357294.777517,15,15,r,125585 structure.c 595 DATA: Node 15, packet 5 sent; IPI 16000
1513357311.265397,15,15,r,142091 structure.c 595 DATA: Node 15, packet 6 sent; IPI 16000
1513357327.775245,15,15,r,158597 structure.c 595 DATA: Node 15, packet 7 sent; IPI 16000
1513357344.295427,15,15,r,175103 structure.c 595 DATA: Node 15, packet 8 sent; IPI 16000
1513357360.785463,15,15,r,191609 structure.c 595 DATA: Node 15, packet 9 sent; IPI 16000
1513357377.305460,15,15,r,208115 structure.c 595 DATA: Node 15, packet 10 sent; IPI 16000
1513357222.902246,8,8,r, 53737 structure.c 595 DATA: Node 8, packet 0 sent; IPI 10000
1513357233.400271,8,8,r, 64243 structure.c 595 DATA: Node 8, packet 1 sent; IPI 10000
1513357243.920603,8,8,r, 74749 structure.c 595 DATA: Node 8, packet 2 sent; IPI 10000
1513357254.410314,8,8,r, 85255 structure.c 595 DATA: Node 8, packet 3 sent; IPI 10000
1513357264.930619,8,8,r, 95761 structure.c 595 DATA: Node 8, packet 4 sent; IPI 10000
1513357275.420201,8,8,r,106266 structure.c 595 DATA: Node 8, packet 5 sent; IPI 10000
1513357285.940511,8,8,r,116772 structure.c 595 DATA: Node 8, packet 6 sent; IPI 10000
1513357296.430429,8,8,r,127278 structure.c 595 DATA: Node 8, packet 7 sent; IPI 10000
1513357306.940325,8,8,r,137784 structure.c 595 DATA: Node 8, packet 8 sent; IPI 10000
1513357317.460027,8,8,r,148290 structure.c 595 DATA: Node 8, packet 9 sent; IPI 10000
1513357327.950325,8,8,r,158795 structure.c 595 DATA: Node 8, packet 10 sent; IPI 10000
1513357338.470206,8,8,r,169301 structure.c 595 DATA: Node 8, packet 11 sent; IPI 10000
1513357348.960356,8,8,r,179807 structure.c 595 DATA: Node 8, packet 12 sent; IPI 10000
1513357359.470134,8,8,r,190313 structure.c 595 DATA: Node 8, packet 13 sent; IPI 10000
1513357369.990717,8,8,r,200819 structure.c 595 DATA: Node 8, packet 14 sent; IPI 10000
1513357380.480709,8,8,r,211325 structure.c 595 DATA: Node 8, packet 15 sent; IPI 10000
1513357212.242994,32,32,r, 43061 structure.c 595 DATA: Node 32, packet 0 sent; IPI 14000
1513357227.240932,32,32,r, 58067 structure.c 595 DATA: Node 32, packet 1 sent; IPI 14000
1513357242.261739,32,32,r, 73072 structure.c 595 DATA: Node 32, packet 2 sent; IPI 14000
1513357257.250629,32,32,r, 88078 structure.c 595 DATA: Node 32, packet 3 sent; IPI 14000
1513357272.280093,32,32,r,103084 structure.c 595 DATA: Node 32, packet 4 sent; IPI 14000
1513357287.260610,32,32,r,118090 structure.c 595 DATA: Node 32, packet 5 sent; IPI 14000
1513357302.270607,32,32,r,133096 structure.c 595 DATA: Node 32, packet 6 sent; IPI 14000
1513357317.295571,32,32,r,148102 structure.c 595 DATA: Node 32, packet 7 sent; IPI 14000
1513357332.280719,32,32,r,163108 structure.c 595 DATA: Node 32, packet 8 sent; IPI 14000
1513357347.300851,32,32,r,178114 structure.c 595 DATA: Node 32, packet 9 sent; IPI 14000
1513357362.290817,32,32,r,193120 structure.c 595 DATA: Node 32, packet 10 sent; IPI 14000
1513357377.300623,32,32,r,208126 structure.c 595 DATA: Node 32, packet 11 sent; IPI 14000
1513357392.320878,32,32,r,223132 structure.c 595 DATA: Node 32, packet 12 sent; IPI 14000
1513357407.310659,32,32,r,238138 structure.c 595 DATA: Node 32, packet 13 sent; IPI 14000
1513357422.331078,32,32,r,253144 structure.c 595 DATA: Node 32, packet 14 sent; IPI 14000
1513357396.314065,33,33,r,227121 structure.c 595 DATA: Node 33, packet 9 sent; IPI 19000
1513357415.836914,33,33,r,246627 structure.c 595 DATA: Node 33, packet 10 sent; IPI 19000
1513357435.324121,33,33,r,266133 structure.c 595 DATA: Node 33, packet 11 sent; IPI 19000
1513357454.834517,33,33,r,285639 structure.c 595 DATA: Node 33, packet 12 sent; IPI 19000
1513357474.354082,33,33,r,305145 structure.c 595 DATA: Node 33, packet 13 sent; IPI 19000
1513357493.848028,33,33,r,324651 structure.c 595 DATA: Node 33, packet 14 sent; IPI 19000
1513357513.364461,33,33,r,344157 structure.c 595 DATA: Node 33, packet 15 sent; IPI 19000
1513357532.855163,33,33,r,363663 structure.c 595 DATA: Node 33, packet 16 sent; IPI 19000
